service_id,date,exception_type
79535,20250901,2
78967,20250901,1
79535,20250902,2
78968,20250902,1
79535,20250903,2
78968,20250903,1
79535,20250904,2
78968,20250904,1
79535,20250905,2
78968,20250905,1
79535,20250908,2
78968,20250908,1
79535,20250909,2
78968,20250909,1
79535,20250910,2
78968,20250910,1
79535,20250911,2
78968,20250911,1
79535,20250912,2
78968,20250912,1
79535,20250915,2
78968,20250915,1
79535,20250916,2
78968,20250916,1
79535,20250917,2
78968,20250917,1
79535,20250918,2
78968,20250918,1
79535,20250919,2
78968,20250919,1
79535,20250922,2
78968,20250922,1
79535,20250923,2
78968,20250923,1
79535,20250924,2
78968,20250924,1
79535,20250925,2
78968,20250925,1
79535,20250926,2
78968,20250926,1
79535,20250929,2
78968,20250929,1
79535,20250930,2
78968,20250930,1
79535,20251001,2
78968,20251001,1
79535,20251002,2
78968,20251002,1
79535,20251003,2
78968,20251003,1
79535,20251006,2
78968,20251006,1
79535,20251007,2
78968,20251007,1
79535,20251008,2
78968,20251008,1
79535,20251009,2
78968,20251009,1
79535,20251010,2
78968,20251010,1
79535,20251013,2
79536,20251013,1
79535,20251014,2
78968,20251014,1
79535,20251015,2
78968,20251015,1
79535,20251016,2
78968,20251016,1
79535,20251017,2
78968,20251017,1
79535,20251020,2
78968,20251020,1
79535,20251021,2
78968,20251021,1
79535,20251022,2
78968,20251022,1
79535,20251023,2
78968,20251023,1
79535,20251024,2
78968,20251024,1
79535,20251027,2
78968,20251027,1
79535,20251028,2
78968,20251028,1
79535,20251029,2
78968,20251029,1
79535,20251030,2
78968,20251030,1
79535,20251031,2
78968,20251031,1
79535,20251103,2
78968,20251103,1
79535,20251104,2
78968,20251104,1
79535,20251105,2
78968,20251105,1
79535,20251106,2
78968,20251106,1
79535,20251107,2
78968,20251107,1
79535,20251110,2
78968,20251110,1
79535,20251111,2
79714,20251111,1
79535,20251112,2
78968,20251112,1
79535,20251113,2
78968,20251113,1
79535,20251114,2
78968,20251114,1
79535,20251117,2
78968,20251117,1
79535,20251118,2
78968,20251118,1
79535,20251119,2
78968,20251119,1
79535,20251120,2
78968,20251120,1
79535,20251121,2
78968,20251121,1
79535,20251124,2
79714,20251124,1
79535,20251125,2
79714,20251125,1
79535,20251126,2
79714,20251126,1
79535,20251127,2
78967,20251127,1
79535,20251128,2
79714,20251128,1
79535,20251201,2
78968,20251201,1
79535,20251202,2
78968,20251202,1
79535,20251203,2
78968,20251203,1
79535,20251204,2
78968,20251204,1
79535,20251205,2
78968,20251205,1
79535,20251208,2
78968,20251208,1
79535,20251209,2
78968,20251209,1
79535,20251210,2
78968,20251210,1
79535,20251211,2
78968,20251211,1
79535,20251212,2
78968,20251212,1
79535,20251215,2
78968,20251215,1
79535,20251216,2
78968,20251216,1
79535,20251217,2
78968,20251217,1
79535,20251218,2
78968,20251218,1
79535,20251219,2
78968,20251219,1
79535,20251222,2
79714,20251222,1
79535,20251223,2
79714,20251223,1
79535,20251224,2
79714,20251224,1
79535,20251225,2
79536,20251225,1
79535,20251226,2
79714,20251226,1
79535,20251229,2
79714,20251229,1
79535,20251230,2
79714,20251230,1
79535,20251231,2
79714,20251231,1
79535,20260101,2
78967,20260101,1
79535,20260102,2
79714,20260102,1
79535,20260105,2
78968,20260105,1
79535,20260106,2
78968,20260106,1
79535,20260107,2
78968,20260107,1
79535,20260108,2
78968,20260108,1
79535,20260109,2
78968,20260109,1
79535,20260112,2
78968,20260112,1
79535,20260113,2
78968,20260113,1
79535,20260114,2
78968,20260114,1
79535,20260115,2
78968,20260115,1
79535,20260116,2
78968,20260116,1
79535,20260119,2
79536,20260119,1
79535,20260120,2
78968,20260120,1
79535,20260121,2
78968,20260121,1
79535,20260122,2
78968,20260122,1
79535,20260123,2
78968,20260123,1
79535,20260126,2
78968,20260126,1
79535,20260127,2
78968,20260127,1
79535,20260128,2
78968,20260128,1
79535,20260129,2
78968,20260129,1
79535,20260130,2
78968,20260130,1
79535,20260202,2
78968,20260202,1
79535,20260203,2
78968,20260203,1
79535,20260204,2
78968,20260204,1
79535,20260205,2
78968,20260205,1
79535,20260206,2
78968,20260206,1
79535,20260209,2
78968,20260209,1
79535,20260210,2
78968,20260210,1
79535,20260211,2
78968,20260211,1
79535,20260212,2
78968,20260212,1
79535,20260213,2
78968,20260213,1
