route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
30X,79535,11941514,Spear + Howard,1,3022,23,,,
30X,78968,11941514_M11,Spear + Howard,1,3022_M11,23,,,
30X,79714,11941514_M21,Spear + Howard,1,3022_M21,23,,,
30X,79535,11940113,Spear + Howard,1,3024,23,,,
30X,78968,11940113_M11,Spear + Howard,1,3024_M11,23,,,
30X,79714,11940113_M21,Spear + Howard,1,3024_M21,23,,,
30X,79535,11940114,Spear + Howard,1,3023,23,,,
30X,78968,11940114_M11,Spear + Howard,1,3023_M11,23,,,
30X,79714,11940114_M21,Spear + Howard,1,3023_M21,23,,,
L,79535,11928214,Third St & 23rd St,1,9505,9553,,,
L,79714,11928214_M21,Third St & 23rd St,1,9505_M21,9553,,,
L,78968,11928214_M11,Third St & 23rd St,1,9505_M11,9553,,,
L,79535,11928221,Third St & 23rd St,1,9503,9553,,,
L,79714,11928221_M21,Third St & 23rd St,1,9503_M21,9553,,,
L,78968,11928221_M11,Third St & 23rd St,1,9503_M11,9553,,,
L,79536,11928410,Third St & 23rd St,1,9507,9553,,,
L,78967,11928561,Third St & 23rd St,1,9507,9553,,,
L,79535,11928237,Third St & 23rd St,1,9502,9553,,,
L,78968,11928237_M11,Third St & 23rd St,1,9502_M11,9553,,,
L,79714,11928237_M21,Third St & 23rd St,1,9502_M21,9553,,,
L,78968,11928241_M11,Third St & 23rd St,1,9508_M11,9553,,,
L,79714,11928241_M21,Third St & 23rd St,1,9508_M21,9553,,,
L,79535,11928241,Third St & 23rd St,1,9508,9553,,,
L,78968,11928233_M11,Third St & 23rd St,1,9507_M11,9553,,,
L,79535,11928233,Third St & 23rd St,1,9507,9553,,,
L,79714,11928233_M21,Third St & 23rd St,1,9507_M21,9553,,,
L,78968,11928234_M11,Third St & 23rd St,1,9509_M11,9553,,,
L,79535,11928234,Third St & 23rd St,1,9509,9553,,,
L,79714,11928234_M21,Third St & 23rd St,1,9509_M21,9553,,,
L,79536,11928404,Third St & 23rd St,1,9506,9553,,,
L,78967,11928571,Third St & 23rd St,1,9506,9553,,,
L,79536,11928403,Third St & 23rd St,1,9508,9553,,,
L,78967,11928572,Third St & 23rd St,1,9508,9553,,,
L,79535,11928043,S.F. Zoo,0,9501,9501,,,
L,79714,11928043_M21,S.F. Zoo,0,9501_M21,9501,,,
L,78968,11928043_M11,S.F. Zoo,0,9501_M11,9501,,,
L,78968,11928044_M11,S.F. Zoo,0,9504_M11,9501,,,
L,79714,11928044_M21,S.F. Zoo,0,9504_M21,9501,,,
L,79535,11928044,S.F. Zoo,0,9504,9501,,,
L,79714,11928045_M21,S.F. Zoo,0,9502_M21,9501,,,
L,79535,11928045,S.F. Zoo,0,9502,9501,,,
L,78968,11928045_M11,S.F. Zoo,0,9502_M11,9501,,,
L,79714,11928046_M21,S.F. Zoo,0,9503_M21,9501,,,
L,79535,11928046,S.F. Zoo,0,9503,9501,,,
L,78968,11928046_M11,S.F. Zoo,0,9503_M11,9501,,,
L,79714,11928047_M21,S.F. Zoo,0,9506_M21,9501,,,
L,79535,11928047,S.F. Zoo,0,9506,9501,,,
L,78968,11928047_M11,S.F. Zoo,0,9506_M11,9501,,,
L,79714,11928048_M21,S.F. Zoo,0,9508_M21,9501,,,
L,78968,11928048_M11,S.F. Zoo,0,9508_M11,9501,,,
L,79535,11928048,S.F. Zoo,0,9508,9501,,,
L,78968,11928049_M11,S.F. Zoo,0,9505_M11,9501,,,
L,79535,11928049,S.F. Zoo,0,9505,9501,,,
L,79714,11928049_M21,S.F. Zoo,0,9505_M21,9501,,,
L,79714,11928050_M21,S.F. Zoo,0,9507_M21,9501,,,
L,78968,11928050_M11,S.F. Zoo,0,9507_M11,9501,,,
L,79535,11928050,S.F. Zoo,0,9507,9501,,,
L,78968,11928051_M11,S.F. Zoo,0,9509_M11,9501,,,
L,79535,11928051,S.F. Zoo,0,9509,9501,,,
L,79714,11928051_M21,S.F. Zoo,0,9509_M21,9501,,,
L,78968,11928052_M11,S.F. Zoo,0,9501_M11,9501,,,
L,79535,11928052,S.F. Zoo,0,9501,9501,,,
L,79714,11928052_M21,S.F. Zoo,0,9501_M21,9501,,,
L,78968,11928053_M11,S.F. Zoo,0,9504_M11,9501,,,
L,79535,11928053,S.F. Zoo,0,9504,9501,,,
L,79714,11928053_M21,S.F. Zoo,0,9504_M21,9501,,,
L,79535,11928054,S.F. Zoo,0,9510,9501,,,
L,78968,11928054_M11,S.F. Zoo,0,9510_M11,9501,,,
L,79714,11928054_M21,S.F. Zoo,0,9510_M21,9501,,,
L,78967,11928423,S.F. Zoo,0,9504,9501,,,
L,79536,11928254,S.F. Zoo,0,9504,9501,,,
L,79714,11928055_M21,S.F. Zoo,0,9502_M21,9501,,,
L,78968,11928055_M11,S.F. Zoo,0,9502_M11,9501,,,
L,79535,11928055,S.F. Zoo,0,9502,9501,,,
L,78967,11928424,S.F. Zoo,0,9501,9501,,,
L,79536,11928255,S.F. Zoo,0,9501,9501,,,
L,78968,11928056_M11,S.F. Zoo,0,9503_M11,9501,,,
L,79535,11928056,S.F. Zoo,0,9503,9501,,,
L,79714,11928056_M21,S.F. Zoo,0,9503_M21,9501,,,
L,79714,11928057_M21,S.F. Zoo,0,9506_M21,9501,,,
L,79535,11928057,S.F. Zoo,0,9506,9501,,,
L,78968,11928057_M11,S.F. Zoo,0,9506_M11,9501,,,
L,78967,11928425,S.F. Zoo,0,9502,9501,,,
L,79536,11928256,S.F. Zoo,0,9502,9501,,,
L,79535,11928058,S.F. Zoo,0,9508,9501,,,
L,79714,11928058_M21,S.F. Zoo,0,9508_M21,9501,,,
L,78968,11928058_M11,S.F. Zoo,0,9508_M11,9501,,,
L,79536,11928257,S.F. Zoo,0,9505,9501,,,
L,78967,11928426,S.F. Zoo,0,9505,9501,,,
L,79535,11928059,S.F. Zoo,0,9505,9501,,,
L,79714,11928059_M21,S.F. Zoo,0,9505_M21,9501,,,
L,78968,11928059_M11,S.F. Zoo,0,9505_M11,9501,,,
L,78967,11928427,S.F. Zoo,0,9503,9501,,,
L,79536,11928258,S.F. Zoo,0,9503,9501,,,
L,78968,11928060_M11,S.F. Zoo,0,9507_M11,9501,,,
L,79714,11928060_M21,S.F. Zoo,0,9507_M21,9501,,,
L,79535,11928060,S.F. Zoo,0,9507,9501,,,
L,78967,11928428,S.F. Zoo,0,9506,9501,,,
L,79536,11928259,S.F. Zoo,0,9506,9501,,,
L,79714,11928061_M21,S.F. Zoo,0,9509_M21,9501,,,
L,79535,11928061,S.F. Zoo,0,9509,9501,,,
L,78968,11928061_M11,S.F. Zoo,0,9509_M11,9501,,,
L,79536,11928260,S.F. Zoo,0,9507,9501,,,
L,78967,11928429,S.F. Zoo,0,9507,9501,,,
L,79535,11928062,S.F. Zoo,0,9501,9501,,,
L,79714,11928062_M21,S.F. Zoo,0,9501_M21,9501,,,
L,78968,11928062_M11,S.F. Zoo,0,9501_M11,9501,,,
L,79714,11928063_M21,S.F. Zoo,0,9504_M21,9501,,,
L,79535,11928063,S.F. Zoo,0,9504,9501,,,
L,79536,11928261,S.F. Zoo,0,9508,9501,,,
L,78968,11928063_M11,S.F. Zoo,0,9504_M11,9501,,,
L,78967,11928430,S.F. Zoo,0,9508,9501,,,
L,79535,11928064,S.F. Zoo,0,9510,9501,,,
L,79714,11928064_M21,S.F. Zoo,0,9510_M21,9501,,,
L,78968,11928064_M11,S.F. Zoo,0,9510_M11,9501,,,
L,79536,11928262,S.F. Zoo,0,9504,9501,,,
L,78967,11928431,S.F. Zoo,0,9504,9501,,,
L,79714,11928065_M21,S.F. Zoo,0,9502_M21,9501,,,
L,79535,11928065,S.F. Zoo,0,9502,9501,,,
L,78968,11928065_M11,S.F. Zoo,0,9502_M11,9501,,,
L,78967,11928432,S.F. Zoo,0,9501,9501,,,
L,79536,11928263,S.F. Zoo,0,9501,9501,,,
L,79535,11928066,S.F. Zoo,0,9503,9501,,,
L,78968,11928066_M11,S.F. Zoo,0,9503_M11,9501,,,
L,79714,11928066_M21,S.F. Zoo,0,9503_M21,9501,,,
L,78967,11928433,S.F. Zoo,0,9502,9501,,,
L,79536,11928264,S.F. Zoo,0,9502,9501,,,
L,79714,11928067_M21,S.F. Zoo,0,9506_M21,9501,,,
L,78968,11928067_M11,S.F. Zoo,0,9506_M11,9501,,,
L,79535,11928067,S.F. Zoo,0,9506,9501,,,
L,78967,11928434,S.F. Zoo,0,9505,9501,,,
L,79536,11928265,S.F. Zoo,0,9505,9501,,,
L,79714,11928068_M21,S.F. Zoo,0,9508_M21,9501,,,
L,79535,11928068,S.F. Zoo,0,9508,9501,,,
L,78968,11928068_M11,S.F. Zoo,0,9508_M11,9501,,,
L,79535,11928069,S.F. Zoo,0,9505,9501,,,
L,78968,11928069_M11,S.F. Zoo,0,9505_M11,9501,,,
L,79714,11928069_M21,S.F. Zoo,0,9505_M21,9501,,,
L,79536,11928266,S.F. Zoo,0,9503,9501,,,
L,78967,11928435,S.F. Zoo,0,9503,9501,,,
L,78968,11928070_M11,S.F. Zoo,0,9507_M11,9501,,,
L,79714,11928070_M21,S.F. Zoo,0,9507_M21,9501,,,
L,79535,11928070,S.F. Zoo,0,9507,9501,,,
L,79536,11928267,S.F. Zoo,0,9506,9501,,,
L,78967,11928436,S.F. Zoo,0,9506,9501,,,
L,79535,11928071,S.F. Zoo,0,9509,9501,,,
L,78968,11928071_M11,S.F. Zoo,0,9509_M11,9501,,,
L,79714,11928071_M21,S.F. Zoo,0,9509_M21,9501,,,
L,78967,11928437,S.F. Zoo,0,9507,9501,,,
L,79536,11928268,S.F. Zoo,0,9507,9501,,,
L,79535,11928072,S.F. Zoo,0,9501,9501,,,
L,79714,11928072_M21,S.F. Zoo,0,9501_M21,9501,,,
L,78968,11928072_M11,S.F. Zoo,0,9501_M11,9501,,,
L,79536,11928269,S.F. Zoo,0,9508,9501,,,
L,78967,11928438,S.F. Zoo,0,9508,9501,,,
L,78968,11928073_M11,S.F. Zoo,0,9504_M11,9501,,,
L,79535,11928073,S.F. Zoo,0,9504,9501,,,
L,79714,11928073_M21,S.F. Zoo,0,9504_M21,9501,,,
L,78967,11928439,S.F. Zoo,0,9504,9501,,,
L,79536,11928270,S.F. Zoo,0,9504,9501,,,
L,79535,11928074,S.F. Zoo,0,9510,9501,,,
L,79714,11928074_M21,S.F. Zoo,0,9510_M21,9501,,,
L,78968,11928074_M11,S.F. Zoo,0,9510_M11,9501,,,
L,79535,11928075,S.F. Zoo,0,9502,9501,,,
L,79714,11928075_M21,S.F. Zoo,0,9502_M21,9501,,,
L,78968,11928075_M11,S.F. Zoo,0,9502_M11,9501,,,
L,78967,11928440,S.F. Zoo,0,9501,9501,,,
L,79536,11928271,S.F. Zoo,0,9501,9501,,,
L,79535,11928076,S.F. Zoo,0,9503,9501,,,
L,78968,11928076_M11,S.F. Zoo,0,9503_M11,9501,,,
L,79714,11928076_M21,S.F. Zoo,0,9503_M21,9501,,,
L,79536,11928272,S.F. Zoo,0,9502,9501,,,
L,78967,11928441,S.F. Zoo,0,9502,9501,,,
L,78968,11928077_M11,S.F. Zoo,0,9506_M11,9501,,,
L,79714,11928077_M21,S.F. Zoo,0,9506_M21,9501,,,
L,79535,11928077,S.F. Zoo,0,9506,9501,,,
L,79536,11928273,S.F. Zoo,0,9505,9501,,,
L,78967,11928442,S.F. Zoo,0,9505,9501,,,
L,79535,11928078,S.F. Zoo,0,9508,9501,,,
L,78968,11928078_M11,S.F. Zoo,0,9508_M11,9501,,,
L,79714,11928078_M21,S.F. Zoo,0,9508_M21,9501,,,
L,79536,11928274,S.F. Zoo,0,9503,9501,,,
L,78967,11928443,S.F. Zoo,0,9503,9501,,,
L,79535,11928079,S.F. Zoo,0,9505,9501,,,
L,78968,11928079_M11,S.F. Zoo,0,9505_M11,9501,,,
L,79714,11928079_M21,S.F. Zoo,0,9505_M21,9501,,,
L,79536,11928275,S.F. Zoo,0,9506,9501,,,
L,78967,11928444,S.F. Zoo,0,9506,9501,,,
L,78968,11928080_M11,S.F. Zoo,0,9507_M11,9501,,,
L,79535,11928080,S.F. Zoo,0,9507,9501,,,
L,79714,11928080_M21,S.F. Zoo,0,9507_M21,9501,,,
L,79535,11928081,S.F. Zoo,0,9509,9501,,,
L,78968,11928081_M11,S.F. Zoo,0,9509_M11,9501,,,
L,79714,11928081_M21,S.F. Zoo,0,9509_M21,9501,,,
L,78967,11928445,S.F. Zoo,0,9507,9501,,,
L,79536,11928276,S.F. Zoo,0,9507,9501,,,
L,78968,11928082_M11,S.F. Zoo,0,9501_M11,9501,,,
L,79714,11928082_M21,S.F. Zoo,0,9501_M21,9501,,,
L,79535,11928082,S.F. Zoo,0,9501,9501,,,
L,78967,11928446,S.F. Zoo,0,9508,9501,,,
L,79536,11928277,S.F. Zoo,0,9508,9501,,,
L,79714,11928083_M21,S.F. Zoo,0,9504_M21,9501,,,
L,78968,11928083_M11,S.F. Zoo,0,9504_M11,9501,,,
L,79535,11928083,S.F. Zoo,0,9504,9501,,,
L,78967,11928447,S.F. Zoo,0,9504,9501,,,
L,79536,11928278,S.F. Zoo,0,9504,9501,,,
L,79714,11928084_M21,S.F. Zoo,0,9510_M21,9501,,,
L,78968,11928084_M11,S.F. Zoo,0,9510_M11,9501,,,
L,79535,11928084,S.F. Zoo,0,9510,9501,,,
L,78967,11928448,S.F. Zoo,0,9501,9501,,,
L,79536,11928279,S.F. Zoo,0,9501,9501,,,
L,78968,11928085_M11,S.F. Zoo,0,9502_M11,9501,,,
L,79714,11928085_M21,S.F. Zoo,0,9502_M21,9501,,,
L,79535,11928085,S.F. Zoo,0,9502,9501,,,
L,78967,11928449,S.F. Zoo,0,9502,9501,,,
L,79536,11928280,S.F. Zoo,0,9502,9501,,,
L,79535,11928086,S.F. Zoo,0,9503,9501,,,
